Year,June days,radiation,air temp,dew,precip,evap,soil temp sod,soil temp bare
2021,1,15.1,65.5,54.1,0,0.13,68.2,70.2
2021,2,19.9,66.3,60,0,0.16,70,73.5
2021,3,30.3,72.4,55.4,0,0.25,72.3,78.3
2021,4,31.3,75.3,55.8,0,0.27,73.7,80.3
2021,5,27,76,61.1,0,0.23,74.7,81.1
2021,6,18.5,73.7,67.2,0.02,0.16,74.8,79.1
2021,7,20.2,75.2,70.4,0.19,0.17,76.6,79.6
2021,8,20.1,74.1,69.6,0.21,0.17,76.8,78.9
2021,9,21.7,75.7,70.8,0,0.18,76.9,79.2
2021,10,23.9,78.7,70.7,0,0.15,77.9,82.3
2021,11,28.1,82,70.5,0,0.25,79.9,86.1
2021,12,26.1,81.3,70.7,0.63,0.23,81.1,86.8
2021,13,31.8,78.6,63.4,0,0.27,80.2,81.7
2021,14,30.5,75.5,56.7,0,0.26,78.2,81.6
2021,15,30.3,73.2,54,0,0.26,77.2,82.1
2021,16,32.8,71.9,47.4,0,0.27,76.9,82.6
2021,17,31.3,75.5,55.7,0,0.26,77,83.7
2021,18,15.3,80.9,70.6,0.02,0.15,78.2,82.4
2021,19,19.2,74.7,70.4,0.75,0.16,77.9,79.5
2021,20,22.9,78.9,71.1,0,0.2,79.9,81
2021,21,12,68.9,58.4,0,0.11,77.1,75.9
2021,22,30.8,63.9,50,0,0.23,74.5,76.1
2021,23,24.6,68.4,55.7,0.02,0.2,74.8,78
2021,24,8.3,68.6,65.1,1.25,0.06,72.8,73.5
2021,25,11.6,74.8,72.2,1.38,0.1,74.5,76
2021,26,19.3,76.4,73.1,1.15,0.17,77.1,78.6
2021,27,19.3,75.8,73.3,1.16,0.16,79,79.6
2021,28,26.8,78.1,73.7,0.12,0.23,81.2,82.4
2021,29,24.2,79.4,73.5,0.03,0.21,82,82.4
2021,30,10.5,74.6,72.1,0.71,0.09,80,78.9
2022,1,12,72.1,65.6,0,0.1,73.9,79.6
2022,2,27.4,69.2,51.6,0,0.22,73.4,88.9
2022,3,30.8,71.4,45.5,0,0.25,71.9,89.9
2022,4,30.9,72.6,45.5,0,0.25,72.8,93.2
2022,5,18.4,72.3,54.1,0,0.15,72.4,84.1
2022,6,15.2,71.3,62.3,0,0.13,72.2,84.1
2022,7,23.6,70.1,61.3,0,0.19,73.5,87.3
2022,8,10.5,64.9,58,0.09,0.08,70.4,73.6
2022,9,26.5,67.9,53.6,0,0.21,70.4,83.9
2022,10,9.1,65.1,57,0.1,0.04,69.7,73.5
2022,11,19.4,70.6,63.7,0,0.16,71.2,80.7
2022,12,15.2,76,72.1,0.03,0.13,73.8,84.6
2022,13,20.1,84.4,77,0,0.19,77.4,94.6
2022,14,28.8,87.4,74.6,0,0.27,80.7,101.6
2022,15,28,86,71.2,0,0.26,81.8,102.4
2022,16,30.6,86.8,68,0,0.29,82.3,102.2
2022,17,26.9,80.8,62.4,0,0.24,80.9,99.6
2022,18,32.7,71.5,47.6,0,0.28,78.6,96.6
2022,19,31.6,71.1,50.7,0,0.26,77,97.5
2022,20,32.1,76.6,57.2,0,0.27,77.9,100
2022,21,31.7,82.7,64.8,0,0.29,79.7,101
2022,22,23.7,82.2,63,0,0.22,80.1,95.7
2022,23,31.9,78.8,56.3,0,0.27,79.8,100.4
2022,24,27.3,78,57,0,0.23,79.8,97.9
2022,25,9.5,73.7,65.3,0.56,0.08,76.8,81.3
2022,26,23.4,73.5,64,0,0.2,77.8,85.8
2022,27,32.6,69.4,51.2,0,0.26,76.4,92.9
2022,28,31,71.2,54.7,0,0.25,76.9,95.4
2022,29,31,75.6,59.4,0,0.27,78.4,98.4
2022,30,32,77.4,60.5,0,0.28,79.9,100.5
